time	V(x)	V(z)	-V(yn)
1.885416885223201e+00	-1.266850e+00	4.153327e+00	-9.109313e-02
1.885422766606568e+00	-1.266159e+00	4.152718e+00	-9.006751e-02
1.885434529373304e+00	-1.264775e+00	4.151496e+00	-8.801945e-02
1.885458054906776e+00	-1.262005e+00	4.149045e+00	-8.393604e-02
1.885505105973720e+00	-1.256456e+00	4.144108e+00	-7.582019e-02
1.885599208107608e+00	-1.245323e+00	4.134106e+00	-5.979237e-02
1.885787412375383e+00	-1.222928e+00	4.113612e+00	-2.855269e-02
1.886163820910934e+00	-1.177707e+00	4.070861e+00	3.067139e-02
1.886916637982036e+00	-1.086206e+00	3.979823e+00	1.363282e-01
1.887916637982036e+00	-9.642868e-01	3.851499e+00	2.515602e-01
1.888916637982036e+00	-8.442493e-01	3.719659e+00	3.406595e-01
1.889916637982036e+00	-7.282354e-01	3.588610e+00	4.071401e-01
1.890916637982036e+00	-6.178353e-01	3.461307e+00	4.547946e-01
1.891916637982036e+00	-5.141308e-01	3.339587e+00	4.873340e-01
1.892916637982036e+00	-4.177614e-01	3.224422e+00	5.081641e-01
1.893916637982036e+00	-3.290017e-01	3.116167e+00	5.202722e-01
1.894916637982035e+00	-2.478368e-01	3.014761e+00	5.261900e-01
1.895916637982035e+00	-1.740336e-01	2.919899e+00	5.280069e-01
1.896916637982035e+00	-1.072011e-01	2.831142e+00	5.274110e-01
1.897916637982035e+00	-4.684145e-02	2.748007e+00	5.257418e-01
1.898916637982035e+00	7.609391e-03	2.670017e+00	5.240456e-01
1.898960807801271e+00	9.880163e-03	2.666689e+00	5.239818e-01
1.899049147439742e+00	1.440119e-02	2.660053e+00	5.238576e-01
1.899225826716685e+00	2.332140e-02	2.646888e+00	5.236309e-01
1.899579185270570e+00	4.068716e-02	2.620984e+00	5.232778e-01
1.899590227725379e+00	4.121947e-02	2.620184e+00	5.232691e-01
1.899592988339081e+00	4.135250e-02	2.619984e+00	5.232670e-01
1.899598509566486e+00	4.161850e-02	2.619584e+00	5.232627e-01
1.899599889873337e+00	4.168497e-02	2.619484e+00	5.232616e-01
1.899602650487039e+00	4.181790e-02	2.619284e+00	5.232595e-01
1.899603340640465e+00	4.185113e-02	2.619234e+00	5.232589e-01
1.899604720947316e+00	4.191757e-02	2.619134e+00	5.232579e-01
1.899605066024028e+00	4.193418e-02	2.619109e+00	5.232576e-01
1.899605152293207e+00	4.193833e-02	2.619103e+00	5.232576e-01
1.899605154989118e+00	4.193846e-02	2.619103e+00	5.232576e-01
1.899605160380942e+00	4.193872e-02	2.619102e+00	5.232575e-01
1.899605161728898e+00	4.193879e-02	2.619102e+00	5.232575e-01
1.899605164424810e+00	4.193891e-02	2.619102e+00	5.232575e-01
1.899605165098788e+00	4.193895e-02	2.619102e+00	5.232575e-01
1.899605166446744e+00	4.193901e-02	2.619102e+00	5.232575e-01
1.899605166783733e+00	4.193903e-02	2.619102e+00	5.232575e-01
1.899605167457711e+00	4.193906e-02	2.619102e+00	5.232575e-01
1.899605167626205e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167631470e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167632787e+00	4.193907e-02	2.619102e+00	5.232575e-01
1.899605167635420e+00	4.193907e-02	2.619102e+00	5.232575e-01
